Column1,original,                              correct
,elaqelendirilmis ,əlaqələndirilmiş 
,elahezretlerinin ,əlahəzrətlərinin 
,edebiyyatlarinin ,ədəbiyyatlarının 
,edebiyyatlarinda ,ədəbiyyatlarında 
,sexsiyyetlerinin ,şəxsiyyətlərinin 
,sehadetnamesinde ,şəhadətnaməsində 
,umumilesdirmeler ,ümumiləşdirmələr 
,catismazliqlarin ,çatışmazlıqların 
,cexoslovakiyanin ,Çexoslovakiyanın 
,xarakteristikasi ,xarakteristikası 
,xarabaliqlarinda ,xarabalıqlarında 
,xanegahlardandir ,xanəgahlardandır 
,vetenperverlerin ,vətənpərvərlərin 
,valideyinlerinin ,valideyinlərinin 
,tertibcilerinden ,tərtibçilərindən 
,tercumeyi-halina ,tərcümeyi-halına 
,terbiyelendirmek ,tərbiyələndirmək 
,texniki-iqtisadi ,texniki-iqtisadi 
,teletamasalarina ,teletamaşalarına 
,sernisinlerinden ,sərnişinlərindən 
,selahiyyetlileri ,səlahiyyətliləri 
,respublikacilara ,respublikaçılara 
,rekonstruksiyasi ,rekonstruksiyası 
,reallasdirilmasi ,reallaşdırılması 
,qenaetindedirler ,qənaətindədirlər 
,qulaqciqlararasi ,qulaqcıqlararası 
,qiymetlendirirdi ,qiymətləndirirdi 
,qeyri-mumkunluyu ,qeyri-mümkünlüyü 
,qarsidurmalardan ,qarşıdurmalardan 
,planlasdirilirdi ,planlaşdırılırdı 
,perspektivlerini ,perspektivlərini 
,olub-olmadiqinda ,olub-olmadığında 
,nesriyyatlarinda ,nəşriyyatlarında 
,nezeriyyelerinde ,nəzəriyyələrində 
,numayendelerinde ,nümayəndələrində 
,meslehetlesmeden ,məsləhətləşmədən 
,menimsenilmesini ,mənimsənilməsini 
,menimsenilmisdir ,mənimsənilmişdir 
,mehdudlasdirmaqa ,məhdudlaşdırmağa 
,mehdudiyyetlerle ,məhdudiyyətlərlə 
,medeniyyetlerine ,mədəniyyətlərinə 
,medeniyyetlerini ,mədəniyyətlərini 
,muveffeqiyyetsiz ,müvəffəqiyyətsiz 
,mutleqlesdirirse ,mütləqləşdirirsə 
,mukellefiyyetler ,mükəlləfiyyətlər 
,mohkemlendirerek ,möhkəmləndirərək 
,mohkemlendirilen ,möhkəmləndirilən 
,monoqrafiyasinda ,monoqrafiyasında 
,magistraturasina ,magistraturasına 
,laboratoriyasina ,laboratoriyasına 
,kvadratsantimetr ,kvadratsantimetr 
,korporasiyalarin ,korporasiyaların 
,konstruksiyasina ,konstruksiyasına 
,konstruksiyalari ,konstruksiyaları 
,konservlesdirmek ,konservləşdirmək 
,keyfiyyetlerinin ,keyfiyyətlərinin 
,karbohidratlarin ,karbohidratların 
,jurnalistlerinin ,jurnalistlərinin 
,istifadecilerine ,istifadəçilərinə 
,inteqrasiyasinin ,inteqrasiyasının 
,vezife sahibleri,vəzifə sahibləri
,Govher Baxseliyeva,Gövhər Baxşəliyeva
,Hormetli prezident,Hörmətli prezident
,teziyi Rutubet ,təziyi Rütübət 
,Son soz onlarindir,Son söz onlarındır
,Gulle qoluna deyir,Güllə qoluna dəyir
,Turk milli enenesi,Türk milli ənənəsi
,Salam eziz usaqlar,Salam əziz uşaqlar
,once tebrik edirik,Öncə təbrik edirik
,Onun terkibindedir,Onun tərkibindədir
,Sohbet ucun saq ol,Söhbət üçün sağ ol
,Axisqa toponimleri,Axısqa toponimləri
,Baki ornek seherdir,Bakı Örnək şəhərdir
,Dede Qorqud batib,Dədə Qorqud batıb
,sel apardi her yeri,sel apardı hər yeri
,O gun uzaqda deyil,O gün uzaqda deyil
,Boyuk Ermenistan ,Böyük Ermənistan 
,Bax yene orada sensen,Bax yenə orada sənsən
,qrip oldum,qrip oldum
,umumi muddealar ,Ümumi müddəalar 
,Proqrami ise salin,Proqramı işə salın
,DeSTeYİNİ İFADe ET,DƏSTƏYİNİ İFADƏ ET
,serqe cekilirdiler,şərqə çəkilirdilər
,Muqayise et bunlari,Müqayisə et bunları
,Aqa oqlu,Ağa oğlu
,Meselen sehir,Məsələn sehir
,Baqciliq leksikasi,Bağçılıq leksikası
,Guz payiz demekdir,Güz payız deməkdir
,Sizden ayri yerdedirler,Sizdən ayrı yerdədirlər
,umumi sexsli cumle,Ümumi şəxsli cümlə
,Ardicilliq elaqesi,Ardıcıllıq əlaqəsi
,dilinde danis,dilində danış
,Meqaleler mecmuesi,Məqalələr məcmuəsi
,Turk menseli addir,Türk mənşəli addır
,uZuLeReK İZLeYİReM,ÜZÜLƏRƏK İZLƏYİRƏM
,Hormetli hemkarlar,Hörmətli həmkarlar
,Biz bunu yaradiriq,Biz bunu yaradırıq
,Biz tehqir olunduq,Biz təhqir olunduq
,Biz ora cixmaliyiq,Biz ora çıxmalıyıq
,Bu qebuledilmezdir,Bu qəbuledilməzdir
,Seminarin sedri ,Seminarın sədri 
,Yekun muddealar ,Yekun müddəalar 
,allahdan her kese yer,allahdan hər kəsə yer
,Camaat var,Camaat var
,Yaylaya goturulmez,Yaylaya götürülməz
,uzerine duz atilir,Üzərinə duz atılır
,cok Tesekkur edirem,Çok Təşəkkür edirəm
,Bu senedi cap edin,Bu sənədi çap edin
,Yuz ilin sonlari ,Yüz ilin sonları 
,İki min kitab var.,İki min kitab var.
,Tom hele gozleyir.,Tom hələ gözləyir.
,"Beli, men evliyem.","Bəli, mən evliyəm."
,Xerite divardadir.,Xəritə divardadır.
,Bu karandas aqdir.,Bu karandaş ağdır.
,Bir cox yuxum var.,Bir çox yuxum var.
,Danismaqa haziram.,Danışmağa hazıram.
,oyrenmeyi severem.,Öyrənməyi sevərəm.
,cox suretli gezme.,Çox sürətli gəzmə.
,Men hekim deyilem.,Mən həkim deyiləm.
,Bas aqrilarim var.,Baş ağrılarım var.
,Eleyin xestexanada.,Eləyin xəstəxanada.
,Qadin corek yeyir.,Qadın çörək yeyir.
,Burada yasayirsiniz?,Burada yaşayırsınız?
,Bunu isteyirsenmi?,Bunu istəyirsənmi?
,Bu sey diri deyil.,Bu şey diri deyil.
,Men kuceye isedim.,Mən küçəyə işədim.
,O sandvic yeyirdi.,O sandviç yeyirdi.
,Pendir sari deyil.,Pendir sarı deyil.
,Melani alma yeyir.,Melani alma yeyir.
,Men cox unutqanam.,Mən çox unutqanam.
,Dana eti yeyibsen.,Dana əti yeyibsən.
,Tom cavab vermedi.,Tom cavab vermədi.
,Hansiyla baslayim?,Hansıyla başlayım?
,Men irqci deyilem.,Mən irqçi deyiləm.
,Men korpe deyilem.,Mən körpə deyiləm.
,Men agent deyilem.,Mən agent deyiləm.
,Men casus deyilem.,Mən casus deyiləm.
,Yeniyetme deyilem.,Yeniyetmə deyiləm.
,Bizim qizimiz yox.,Bizim qızımız yox.
,İtim cox temizdir.,İtim çox təmizdir.
,Bu seri anlamiram.,Bu şeri anlamıram.
,Qezetim haradadir?,Qəzetim haradadır?
,Bu hefte mesqulam.,Bu həftə məşğulam.
,Hamisi durqun idi.,Hamısı durğun idi.
,Dunen mesqul idim.,Dünən məşğul idim.
,Onu cox dusunerem.,Onu çox düşünərəm.
,Oqrular yaxalandi.,Oğrular yaxalandı.
,Senin Skaypin var?,Sənin Skaypın var?
,Lazanyani sevirem.,Lazanyanı sevirəm.
,Seferleri sevirem.,Səfərləri sevirəm.
,Sabah isti olacaq.,Sabah isti olacaq.
,Tom tereddud edir.,Tom tərəddüd edir.
,Yataqini yiqisdir.,Yatağını yığışdır.
,İntiqam isteyirem.,İntiqam istəyirəm.
,Biz orada olmusuq.,Biz orada olmuşuq.
,Usaqlariniz varmi?,Uşaqlarınız varmı?
,"O, qehve xoslayir.","O, qəhvə xoşlayır."
,Aqlamaq isteyirem.,Ağlamaq istəyirəm.
,Qizlar isleyirler.,Qızlar işləyirlər.
,Bu senin ailendir?,Bu sənin ailəndir?
,O Tomun bacisidir.,O Tomun bacısıdır.
,Qapilar baqli idi.,Qapılar bağlı idi.
,Siz optimistsiniz.,Siz optimistsiniz.
,Men aspazi gordum.,Mən aşpazı gördüm.
,Siz cox ariqsiniz.,Siz çox arıqsınız.
,Onun saci uzundur.,Onun saçı uzundur.
,Tom ne gozleyirdi?,Tom nə gözləyirdi?
,"Mence o, hekimdir.","Məncə o, həkimdir."
,Tom bize ne verib?,Tom bizə nə verib?
,Parisde qar yaqir.,Parisdə qar yağır.
,Tom xeste gorunur.,Tom xəstə görünür.
,Onun pulu yox idi.,Onun pulu yox idi.
,Biz sadece dostuq?,Biz sadəcə dostuq?
,Onlar gozeldirler.,Onlar gözəldirlər.
,"Ata, sen hardasan?","Ata, sən hardasan?"
,Men Estoniyadanam.,Mən Estoniyadanam.
,Qatar gozden itdi.,Qatar gözdən itdi.
,Bu bahali deyildi.,Bu bahalı deyildi.
,Men Avstriyadanam.,Mən Avstriyadanam.
,O Ohayoda doqulub.,O Ohayoda doğulub.
,Mene bir alma ver.,Mənə bir alma ver.
,Almalar haradadir?,Almalar haradadır?
,Luqeti mene getir.,Lüğəti mənə gətir.
,Menim luqetim var.,Mənim lüğətim var.
,Bu luqet yaxsidir.,Bu lüğət yaxşıdır.
,Bu luqet menimdir.,Bu lüğət mənimdir.
,Bu yaxsi luqetdir.,Bu yaxşı lüğətdir.
,O Portuqaliya idi.,O Portuqaliya idi.
,Roma İtaliyadadir.,Roma İtaliyadadır.
,O İtaliyaya gedib.,O İtaliyaya gedib.
,Men Ruminiyadanam.,Mən Rumıniyadanam.
,O menim ureyimdir.,O mənim ürəyimdir.
,Bu onlarin evidir.,Bu onların evidir.
,"O, tibb bacisidir.","O, tibb bacısıdır."
,Onlar hekimdirler.,Onlar həkimdirlər.
,İte sumuk atmayin!,İtə sümük atmayın!
,Men İsvece getdim.,Mən İsveçə getdim.
,Men İspaniyadanam.,Mən İspaniyadanam.
,Bu İspaniyadandir.,Bu İspaniyadandır.
,Tom piveni acmadi.,Tom pivəni açmadı.
,Onun iki qizi var.,Onun iki qızı var.
,Tom aqir xestedir.,Tom ağır xəstədir.
,O sesini qaldirdi.,O səsini qaldırdı.
,Men axmaq deyilem.,Mən axmaq deyiləm.
,Minnetdar olardim.,Minnətdar olardım.
,Futbol oynayirsan?,Futbol oynayırsan?
,Yarpaqlar tokulub.,Yarpaqlar tökülüb.
,O bize yalan dedi.,O bizə yalan dedi.
,Men bunu bilirdim.,Mən bunu bilirdim.
,Sen bilirsen nece.,Sən bilirsən necə.
,Afrika olke deyil.,Afrika ölkə deyil.
,Dam yaqis buraxir.,Dam yağış buraxır.
,Men basim aqriyir.,Mən başım ağrıyır.
,Men qulaq asmadim.,Mən qulaq asmadım.
,Biz unutmayacaqiq.,Biz unutmayacağıq.
,Men corek yeyirem.,Mən çörək yeyirəm.
,umidimi itirmisem.,Ümidimi itirmişəm.
,Bu onun masinidir.,Bu onun maşınıdır.
,Milli corek yeyir.,Milli çörək yeyir.
,O ona nifret edir.,O ona nifrət edir.
,"Salam, bu Maykdir.","Salam, bu Maykdır."
,Hele he dememisem.,Hələ hə deməmişəm.
,Otaq cox boyukdur.,Otaq çox böyükdür.
,Biz dost deyildik.,Biz dost deyildik.
,Menim arvadim var.,Mənim arvadım var.
,Bayirda qar yaqir.,Bayırda qar yağır.
,Men homoseksualam.,Mən homoseksualam.
,Men muellime idim.,Mən müəllimə idim.
,Dunen kulekli idi.,Dünən küləkli idi.
,cox sey bas verib.,Çox şey baş verib.
,Men niye buradayam?,Mən niyə buradayam?
,"O, kitabi oxumadi.","O, kitabı oxumadı."
,Men kitab yeyirem.,Mən kitab yeyirəm.
,O hazir olmayacaq.,O hazır olmayacaq.
,Qesebede klub var?,Qəsəbədə klub var?
,"O, xestexanadadir.","O, xəstəxanadadır."
,Menim adim Cekdir.,Mənim adım Cekdir.
,Tom qisqanc deyil.,Tom qısqanc deyil.
,Bu Tomun ofisidir.,Bu Tomun ofisidir.
,"O, elini qaldirdi.","O, əlini qaldırdı."
,"Yox, bu o deyildi.","Yox, bu o deyildi."
,Men cayda cimirem.,Mən çayda çimirəm.
,Onun planlari var.,Onun planları var.
,Senin serabin var.,Sənin şərabın var.
,Otaq qaranliq idi.,Otaq qaranlıq idi.
,İndi basa dusuruk.,İndi başa düşürük.
,Film 2 saat cekdi.,Film 2 saat çəkdi.
,Kim Kenle yasayir.,Kim Kenlə yaşayır.
,Onlar qonaqdirlar.,Onlar qonaqdırlar.
,Onlar oqlandirlar.,Onlar oğlandırlar.
,Tom basini qirxdi.,Tom başını qırxdı.
,"O, basini isletdi.","O, başını işlətdi."
,Onun burnu qanadi.,Onun burnu qanadı.
,Senin burnun axir.,Sənin burnun axır.
,Bu onun sehvi idi.,Bu onun səhvi idi.
,O almanca danisir.,O almanca danışır.
,Yasil cay icirsen?,Yaşıl çay içirsən?
,Qatarimiz gecikir.,Qatarımız gecikir.
,Televizoru sondur.,Televizoru söndür.
,Onu haradan aldin?,Onu haradan aldın?
,Bu qedim qanundur.,Bu qədim qanundur.
,Bu kohne kitabdir.,Bu köhnə kitabdır.
,Bu kitab kohnedir.,Bu kitab köhnədir.
,Niye ora getdiniz?,Niyə ora getdiniz?
,Masindaki kim idi?,Maşındakı kim idi?
,Tom lulqenber idi.,Tom lülqənbər idi.
,Taqetden dusmusem.,Taqətdən düşmüşəm.
,Tom sungeri sixdi.,Tom süngəri sıxdı.
,Tom ela surucudur.,Tom əla sürücüdür.
,"O, imtahani kecdi.","O, imtahanı keçdi."
,O cehrayi geyinib.,O çəhrayı geyinib.
,Men Syuzan Qrinem.,Mən Syuzan Qrinəm.
,Nyu-York nece idi?,Nyu-York necə idi?
,Bu menim sikimdir.,Bu mənim sikimdir.
,Qara sene yarasir.,Qara sənə yaraşır.
,Tom cox tenbeldir.,Tom çox tənbəldir.
,Tom qrupa qosuldu.,Tom qrupa qoşuldu.
,Saqqiz ceyneyirem.,Saqqız çeynəyirəm.
,Bu limon aqacidir.,Bu limon ağacıdır.
,Men atlet deyilem.,Mən atlet deyiləm.
,O yaqisi xoslayir.,O yağışı xoşlayır.
,Mence sen acmisan.,Məncə sən acmısan.
,Kisi qezet oxuyur.,Kişi qəzet oxuyur.
,Kofe isteyirsiniz?,Kofe istəyirsiniz?
,Menimle behs etme.,Mənimlə bəhs etmə.
,"O, olumden qorxur.","O, ölümdən qorxur."
,"O, meni deli etdi.","O, məni dəli etdi."
,Teles ve hazir ol!,Tələs və hazır ol!
,Yuxun sirin olsun!,Yuxun şirin olsun!
,Bu hele hec nedir.,Bu hələ heç nədir.
,Kisi kitab oxuyur.,Kişi kitab oxuyur.
,Onlari taniyirsan?,Onları tanıyırsan?
,O koyneyini cirdi.,O köynəyini cırdı.
,Men xiyar yeyirem.,Mən xiyar yeyirəm.
,"O, cinden qayitdi.","O, Çindən qayıtdı."
,seherde yasayiriq.,Şəhərdə yaşayırıq.
,Qizimi gordunuzmu?,Qızımı gördünüzmü?
,Ona yaziqim geldi.,Ona yazığım gəldi.
,Su soyuq deyildir.,Su soyuq deyildir.
,Bu kitab menimdir.,Bu kitab mənimdir.
,Tom da qisqancdir.,Tom da qısqancdır.
,Biz cinde deyilik.,Biz Çində deyilik.
,Mence bu bes eder.,Məncə bu bəs edər.
,Ona yarani goster.,Ona yaranı göstər.
,Taksi gozleyirdim.,Taksi gözləyirdim.
,Amerika uzaqdadir.,Amerika uzaqdadır.
,Peyqember deyilem.,Peyğəmbər deyiləm.
,Onlar menim deyil.,Onlar mənim deyil.
,onlar menimdir,onlar mənimdir
,O meni cimdikledi.,O məni çimdiklədi.
,Problem Tom deyil.,Problem Tom deyil.
,Nece usaqiniz var?,Neçə uşağınız var?
,Menim adim Dusana.,Mənim adım Duşana.
,İsi ile fexr edir.,İşi ilə fəxr edir.
,Jetpisbayevanin heyat yoldasiyam,Jetpisbayevanın həyat yoldaşıyam
,manata qeder artdi,manata qədər artdı
,umumi hecmin bilmirem,Ümumi həcmin bilmirəm
,Bu artiq mumkundur,Bu artıq mümkündür
,Kisi basina ,Kişi başına 
,ora Pekindir,ora Pekindir
,cata bilmirem sene,çata bilmirəm sənə
,Nufus artisi,Nüfus artışı
,masin surerken,maşın sürərkən
,ne deyirsen indi,ne deyirsən indi
,turkler mehribandir,türklər mehribandır
,dava baslayir ,dava başlayır 
,menim adim qirmizi,mənim adım qırmızı
,Allah Sizi qorusun,Allah Sizi qorusun
,Biz bele de edirik,Biz belə də edirik
,Bu istisna olunmur,Bu istisna olunmur
,Biz buna cox sadiq,Biz buna çox şadıq
,Daha ne isteyirler,Daha nə istəyirlər
,Lakin ne bas verdi,Lakin nə baş verdi
,Hormetli soydaslar,Hörmətli soydaşlar
,Tanri Sizi qorusun,Tanrı Sizi qorusun
,esas anlayislar ,Əsas anlayışlar 
,Siqorta sirketleri,Sığorta şirkətləri
,Mirzebeyli İttifaq,Mirzəbəyli İttifaq
,İnsan resurslari ,İnsan resursları 
,Elektron Hokumet ,Elektron Hökumət 
,Proqram teminati ,Proqram təminatı 
,Ailede 5 usaq idik,Ailədə 5 uşaq idik
,Orada surucu oldum,Orada sürücü oldum
,yaratmaq nesib olub,yaratmaq nəsib olub
,İndi pes ne elemek,İndi pəs nə eləmək
,hallari da coxalib,halları da çoxalıb
,İslam sulh dinidir,İslam sülh dinidir
,Buna luzum yox idi,Buna lüzum yox idi
,Biz bunu isteyirik,Biz bunu istəyirik
,Yasasin Azerbaycan,Yaşasın Azərbaycan
,İyi dusunulmelidir,İyi düşünülməlidir
,Hokumeti uyaramadi,Höküməti uyaramadı
,he gordum,hə gördüm
,Mohterem telebelerim,Möhtərəm tələbələrim
,paylasaq birlikde,paylaşaq birlikdə
,kelmesi dile gelir,kəlməsi dilə gəlir
,Bele de olmali idi,Belə də olmalı idi
,Yaxsi qarsiladilar,Yaxşı qarşıladılar
,Nevvabin mulku coxdur,Nəvvabın mülkü çoxdur
,dollar hecmindedir,dollar həcmindədir
,Evin nesesi gelmis,Evin nəşəsi gəlmiş
,Gece gunduz demedi,Gecə gündüz demədi
,borcun gelib,borcun gəlib
,Muraciet erizesi ,Müraciət ərizəsi 
,Finka-Azerbaycan ,Finka-Azərbaycan 
,Yeni budur realliq,Yəni budur reallıq
,azerbaycanlilarin ,azərbaycanlıların 
,numayendelerinden ,nümayəndələrindən 
,fizika-riyaziyyat ,fizika-riyaziyyat 
,telekommunikasiya ,telekommunikasiya 
,yerlesdirilmisdir ,yerləşdirilmişdir 
,genislendirilmesi ,genişləndirilməsi 
,Memmedquluzadenin ,Məmmədquluzadənin 
,istirakcilarindan ,iştirakçılarından 
,general-leytenant ,general-leytenant 
,xususiyyetlerinin ,xüsusiyyətlərinin 
,birlesdirilmisdir ,birləşdirilmişdir 
,Sankt-Peterburqda ,Sankt-Peterburqda 
,yaxsilasdirilmasi ,yaxşılaşdırılması 
,tehlukesizliyinin ,təhlükəsizliyinin 
,qebiristanliqinda ,qəbiristanlığında 
,mueyyenlesdirilir ,müəyyənləşdirilir 
,tekmillesdirilmis ,təkmilləşdirilmiş 
,respublikalarinda ,respublikalarında 
,parlamentlerarasi ,parlamentlərarası 
,laboratoriyasinin ,laboratoriyasının 
,sexsiyyetlerinden ,şəxsiyyətlərindən 
,istifadecilerinin ,istifadəçilərinin 
,formalasdirilmasi ,formalaşdırılması 
,qanunvericiliyine ,qanunvericiliyinə 
,professor-muellim ,professor-müəllim 
,mohkemlendirilmis ,möhkəmləndirilmiş 
,sivilizasiyasinin ,sivilizasiyasının 
,qayda-qanunlarini ,qayda-qanunlarını 
,merkezlesdirilmis ,mərkəzləşdirilmiş 
,Konstitusiyasinin ,Konstitusiyasının 
,laboratoriyasinda ,laboratoriyasında 
,istiqametlerinden ,istiqamətlərindən 
,dissertasiyasinin ,dissertasiyasının 
,edebiyyatsunasliq ,ədəbiyyatşünaslıq 
,nailiyyetlerinden ,nailiyyətlərindən 
,meskunlasmisdilar ,məskunlaşmışdılar 
,muveffeqiyyetleri ,müvəffəqiyyətləri 
,komponentlerinden ,komponentlərindən 
,infrastrukturunun ,infrastrukturunun 
,elaqelendirilmesi ,əlaqələndirilməsi 
,catismamazliqlari ,çatışmamazlıqları 
,yerlesdirilmesine ,yerləşdirilməsinə 
,tercumeyi-halinda ,tərcümeyi-halında 
,seslendirilmisdir ,səsləndirilmişdir 
,mueyyenlesdirilib ,müəyyənləşdirilib 
,genislendirmisdir ,genişləndirmişdir 
,azerbaycanlilarla ,azərbaycanlılarla 
,Saricali-Cavansir ,Sarıcalı-Cavanşir 
,Kinematoqrafcilar ,Kinematoqrafçılar 
,teserrufatlarinin ,təsərrüfatlarının 
,texnologiyalarina ,texnologiyalarına 
,sivilizasiyalarin ,sivilizasiyaların 
,qiymetlendirilmis ,qiymətləndirilmiş 
,numunelerindendir ,nümunələrindəndir 
,mueyyenlesdirildi ,müəyyənləşdirildi 
,musteqilliklerini ,müstəqilliklərini 
,dramaturgiyasinin ,dramaturgiyasının 
,bedii-publisistik ,bədii-publisistik 
,Respublikasindaki ,Respublikasındakı 
,ehval-ruhiyyesini ,əhval-ruhiyyəsini 
,universitetlerine ,universitetlərinə 
,teserrufatlarinda ,təsərrüfatlarında 
,texnologiyalardan ,texnologiyalardan 
,teletamasalarinda ,teletamaşalarında 
,medeniyyetlerinin ,mədəniyyətlərinin 
,mueyyenlesdirmeye ,müəyyənləşdirməyə 
,mutexessislerinin ,mütəxəssislərinin 
,mukafatlandirilma ,mükafatlandırılma 
,millilesdirilmesi ,milliləşdirilməsi 
,maliyyelesdirilir ,maliyyələşdirilir 
,konstruksiyasinda ,konstruksiyasında 
,guclendirilmesine ,gücləndirilməsinə 
,general-polkovnik ,general-polkovnik 
,birlesdirilmesini ,birləşdirilməsini 
,Konstitusiyasinda ,Konstitusiyasında 
,Kitabxanasunasliq ,Kitabxanaşünaslıq 
,emeliyyat-axtaris ,əməliyyat-axtarış 
,elaqelendirmisdir ,əlaqələndirmişdir 
,edemi-Merkeziyyet ,Ədəmi-Mərkəziyyət 
,zerersizlesdirmek ,zərərsizləşdirmək 
,zenginlesdirilmis ,zənginləşdirilmiş 
,uyqunlasdirilmasi ,uyğunlaşdırılması 
,universitetlerden ,universitetlərdən 
,tedqiqatcilarinin ,tədqiqatçılarının 
,texnologiyasindan ,texnologiyasından 
,tarixsunasliqinda ,tarixşünaslığında 
,senetkarlardandir ,sənətkarlardandır 
,riyaziyyatcilarin ,riyaziyyatçıların 
,qiymetlendirirler ,qiymətləndirirlər 
,qabiliyyetlerinin ,qabiliyyətlərinin 
,mukafatlandirilib ,mükafatlandırılıb 
,mukafatlandirildi ,mükafatlandırıldı 
,muhendis-texnoloq ,mühəndis-texnoloq 
,marksizm-leninizm ,marksizm-leninizm 
,maraqlandirmisdir ,maraqlandırmışdır 
,kifayetlenmeyerek ,kifayətlənməyərək 
,iqtidar-muxalifet ,iqtidar-müxalifət 
,heveslendirmisdir ,həvəsləndirmişdir 
,gostericilerinden ,göstəricilərindən 
,geoloji-kesfiyyat ,geoloji-kəşfiyyat 
,dissertasiyasinda ,dissertasiyasında 
,birinciliklerinde ,birinciliklərində 
,Universitetindeki ,Universitetindəki 
,Gelersen-Gorersen ,Gələrsən-Görərsən 
,edebiyyatsunaslar ,ədəbiyyatşünaslar 
,yetisdirilmesinde ,yetişdirilməsində 
,yenidenhazirlanma ,yenidənhazırlanma 
,yaradiciliqindaki ,yaradıcılığındakı 
,xususilesdirilmis ,xüsusiləşdirilmiş 
,texnologiyalarini ,texnologiyalarını 
,tarixi-etnoqrafik ,tarixi-etnoqrafik 
,tarix-etnoqrafiya ,tarix-etnoqrafiya 
,selahiyyetlerinin ,səlahiyyətlərinin 
,seciyyelendirilir ,səciyyələndirilir 
,siyahiyaalmasinin ,siyahıyaalmasının 
,respublikacilarin ,respublikaçıların 
,rayonlasdirilmasi ,rayonlaşdırılması 
,qurucularindandir ,qurucularındandır 
,qayda-qanunlarina ,qayda-qanunlarına 
,profilaktikasinda ,profilaktikasında 
,planlasdirilmisdi ,planlaşdırılmışdı 
,parapsixologiyada ,parapsixologiyada 
,menimsenilmesinde ,mənimsənilməsində 
,muveffeqiyyetlere ,müvəffəqiyyətlərə 
,mukafatlandiracaq ,mükafatlandıracaq 
,mudafiecilerinden ,müdafiəçilərindən 
,mohkemlendirdiler ,möhkəmləndirdilər 
,mikrocerrahiyyesi ,mikrocərrahiyyəsi 
,kombinasiyasindan ,kombinasiyasından 
,kitabxanalarindan ,kitabxanalarından 
,istirahet-mualice ,istirahət-müalicə 
